#TEFF:4000 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	1.58991174483e-13
935.0	2.30122367658e-13
945.0	3.93042758967e-13
955.0	3.81337387161e-13
965.0	8.78137815981e-13
975.0	9.64350145765e-13
985.0	1.63948445247e-12
995.0	2.8426572051e-12
1005.0	3.96636381897e-12
1015.0	5.83652826335e-12
1025.0	9.05633602094e-12
1035.0	2.01493219362e-11
1045.0	3.07582216472e-11
1055.0	3.37737034735e-11
1065.0	8.25190816528e-11
1075.0	1.22205069283e-10
1085.0	2.30365696878e-10
1095.0	3.36215607075e-10
1105.0	4.62176714596e-10
1115.0	6.61401398622e-10
1125.0	1.56130135579e-09
1135.0	2.83356786944e-09
1145.0	4.69963165982e-09
1155.0	7.1119596097e-09
1165.0	9.31632301281e-09
1175.0	1.51593741026e-08
1185.0	1.84530693548e-08
1195.0	2.08931531346e-08
1205.0	1.67860239461e-08
1215.0	8.16891166526e-09
1225.0	2.80289091928e-08
1235.0	8.07531567111e-08
1245.0	1.23587930993e-07
1255.0	1.8026662637e-07
1265.0	2.22808149041e-07
1275.0	3.17141462528e-07
1285.0	3.22065037318e-07
1295.0	4.1832669815e-07
1305.0	5.20606694141e-07
1315.0	6.60047041939e-07
1325.0	7.67297931379e-07
1335.0	8.76420578026e-07
1345.0	1.19810922105e-06
1355.0	1.54694720774e-06
1365.0	1.77070187459e-06
1375.0	1.87506555549e-06
1385.0	2.27834297474e-06
1395.0	2.67144616034e-06
1405.0	3.65775577864e-06
1415.0	4.57738527564e-06
1425.0	5.09829877605e-06
1435.0	7.21446916009e-06
1442.0	9.73888205501e-06
1447.0	8.58610041741e-06
1455.0	1.00771276219e-05
1465.0	1.5034147051e-05
1475.0	1.80664356993e-05
